Rank,ASIN,Image URL,Title,Best Seller Ranks,Currency,Price,Review Rating,Review Count,In-Stock,Purchase Limits,Feature Points,Brand,Seller,Store,Offers,Product Dimensions,Product Weight,Shipping Weight,Published At,FBA,Prime,Sponsored
29,B01BCCST7K,"https://images-eu.ssl-images-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41FmPpXs9UL._AC_UL300_SR300,200_.jpg","B.K.Licht – Deckenlampe – 255x95 mm, Silber, LED, dreh- und schwenkbare Spotlampe, hohe Helligkeit, 2 flammig, inkl. Leuchtmi","Beleuchtung: 1486
Deckenspots: 29",EUR,21.99,4.5,16340.0,,,"DER ALLROUNDER IN DEINEM ZUHAUSE – Es gibt kein Zimmer, in dem sich diese Deckenspots nicht gut machen. Egal, ob Wohnzimmer, Schlafzimmer, Büro, Flur, Küche, Esszimmer oder Kinderzimmer

IHRE WOHNUNG ZUM STRAHLEN BRINGEN – Die Deckenleuchte ist mit der Schutzart IP20 ausgestattet und kann in ihrem schlichten und modernen Design in verschiedenen Größen erworben werden

ZUVERLÄSSIG LANGLEBIG – Die Spot Strahler haben eine Lebensdauer von ca. 20.000 Stunden, sodass Sie eine lange Zeit viel Freude an ihnen haben werden

IHR LICHT IM DUNKELN – besitzt zwei GU10 Fassungen für austauschbare Leuchtmittel und leuchtet in warmweiß mit 3.000 Kelvin. Entsprechende Leuchtmittel sind mit je 250 Lumen und 3 Watt inklusive

FÜR JEDEN WAS DABEI – Der Deckenstrahler ist nur der Anfang. Seit 2015 bietet B.K.Licht seinen Kunden eine große Produktauswahl an. Hier findet jeder seine perfekte Lampe

Bei diesem Produkt handelt es sich um ein umgebendes Produkt. Umgebende Produkte sind Leuchten, die zur separaten Überprüfung der enthaltenen Lichtquelle(n) zerlegt werden können.",B.K.Licht,B.K.Licht,Besuche den B.K.Licht,,25.5 x 6.5 x 9.5 cm,360 g,,2016-02-01,0.0,,
30,B0BGRHV52L,"https://images-eu.ssl-images-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71PKLGod2IL._AC_UL300_SR300,200_.jpg","Klighten Deckenstrahler 4 Flammig Schwarz, GU10 Deckenlampe Strahler Schwenkbar, Spotleuchte Drehbar Deckenspots für Küche, S","Beleuchtung: 1564
Deckenspots: 30",EUR,44.99,4.5,94.0,,,"【Modernes Design & Rostschutz】 Die 4 Flammig Deckenleuchte ist aus hochwertigem aluminium und eisen gefertigt, um zu verhindern, dass die Oberfläche der Leuchte feucht und rostig wird. LED Deckenstrahler rechteckiger basis aus mattem Aluminium, Schienenköpfe aus mattem Aluminium, und fügt sich mit dem schlichten Design in jeden Wohnraum optimal ein.

【Schwenkbarer Deckenstrahler】Sie können die Beleuchtungs richtung nach Belieben einstellen und schwenken. 330 ° schwenkbar und 90 ° einstellbar.

【GU10 Fassung】Die Aufbaustrahler hat 4 GU10 Fassung und ermöglicht einfachstes auswechseln Ihrer Leuchtmittel(Max 50W). Im Lieferumfang ist kein Leuchtmittel enthalten. Wählen Sie Ihre eigene Lichtfarbe und lassen Sie Ihr Zuhause in schönem Licht erstrahlen.

【Vielseitiger Deckenspots】Die flexiblen Schienenköpfe sind frei verstellbar. Es kann an der Decke oder an der Wand installiert werden, kann als Wandleuchte oder Deckenleuchte. Geeigent für Küche, Flur, Wohnzimmer, Schaufenster, Schlafzimmer, Hotels usw.

【Einfach zu installieren】Die deckenspots ist einfach zu montieren gemäß unserer Installationsanweisung, aber zu Ihrer Sicherheit installieren Sie bitte unter der Anleitung eines Fachmanns. Das Paket enthält Montagezubehör und eine Installationsanleitung.",Klighten,ROBONE,Besuche den Klighten,,54 x 17 x 7 cm,1.31 kg,,2022-09-29,0.0,,
31,B09LHSNW7R,"https://images-eu.ssl-images-amazon.com/images/I/61xIzw0FQZL._AC_UL300_SR300,200_.jpg","Lumare LED Einbaustrahler Dimmbar 4W 400 Lumen IP44, 27mm Einbautiefe, extra flach, 68mm EinbauØ LED Leuchtmodul austauschbar","Beleuchtung: 1608
Einbaugehäuse- & Verkleidungssets: 7
Deckenspots: 31",EUR,19.99,4.3,49.0,,,"💡 Hochwertige Lumare 4W Slim LED Einbauspots Dimmbar für flimmerfreies, wohlig warmes Licht bei geringem Stromverbrauch -IP44 Feuchtraum geeignet- bei nur 27mm Einbautiefe. Dieses Produkt enthält eine Lichtquelle der Energieeffizienzklasse D

💡 Hervorragende Qualität nach strengen Qualitätsrichtlinien produziert mit 3 Jahren Garantie (s. Garantiebedingungen). Mit integriertem Trafo, direkt an 230V anzuschließen, mit 25.000Stunden Lebensdauer

💡 Energiesparende 4W ersetzen 35W Halogen, 120° Abstrahlwinkel sorgen für großflächige Raumausleuchtung

💡 Hohe, geräuschlose Lichtqualität CRI >80 für lebendige Farben und volle Helligkeit direkt nach dem Einschalten

💡 Kompatible Dimmer: Lumare ULD-PA-1, Ebrom EB-LED-5-150, EcoDim-04, Proventa Uni, Busch-Jäger 6523, U-102, Kopp 8002, 8428, 8455",Lumare,LumareGmbH,Besuche den Lumare,,85l x 85b x 27h cm,240 g,,2021-11-10,0.0,,
34,B0823JCZPR,"https://images-eu.ssl-images-amazon.com/images/I/61XWhy0V+BL._AC_UL300_SR300,200_.jpg","Unicozin LED Deckenleuchte, 4 Flammig LED Deckenstrahler Schwenkbar Chrom, Inkl. 4 x 4W GU10 LED Lampen, 400LM, Warmweiß, LED","Beleuchtung: 1809
Kronleuchter: 4
Deckenspots: 34
Deckenleuchten: 140",EUR,26.99,4.6,1678.0,,,"Modernes Design aus chrom: rostfreies chrom Design. Diese led Deckenleuchte in chrom ist rostbeständig und fügt sich mit dem schlichten Design in jeden Wohnraum optimal ein.

Praktische Beleuchte: Der Mast der Deckenleuchte und die GU10 LED-Punkte können unabhängig voneinander gedreht werden, um den Winkel nach Belieben anzupassen

Leuchtmittel enthaltend: Die Deckenleuchte ist mit 4 Fassungen GU10 ausgestattet. Bei der Lieferung sind 4 Leuchtmittel mit je 400 Lumen und 4 Watt inklusiv. Warmweißes Licht mit einer Farbtemperatur von 2900K.

Abmessungen der Deckenstrahler LED: Länge der Deckenstrahler 60.5cm; Höhe: 15.5 cm; Maße der Unterlage: 8cm.

Breites Einsatzspektrum: Durch das moderne, aber schlichte Design geeignet diese Leuchte für viele Bereiche, wie z.B. Esszimmer, Wohnzimmer, Flur, Küche, Schlafzimmer und Kinderzimmer.",Unicozin,Xinen,,,33.1 x 10.3 x 9.7 cm,760 g,,2019-11-27,0.0,,
35,B09VGTJXMT,"https://images-eu.ssl-images-amazon.com/images/I/61QQw4OVc+L._AC_UL300_SR300,200_.jpg",Temgin IP65 Deckenleuchte Aufputz Weiß LED 12W 3000K Warmweiß Deckenspots Aluminium 230V Ø10cm Aufbauleuchte Deckenlampe Spot,"Beleuchtung: 1858
Deckenspots: 35",EUR,29.99,4.3,65.0,,,"【Hochwertiges Material】Aufbauleuchte besteht aus Aluminium und Acryl, starke Lichtdurchlässigkeit, hohe Temperaturbeständigkeit, keine Verformung, Rostschutz. Die weiß matte Oberfläche sieht luxuriöser und eleganter aus.

【Spezifikationen】Leistung: 12W/3000K, Lumen: 1080LM, Spannung: 230V. Größe: Ø100mm*73mm, Zylinder. Weiches warmweißes Licht, flimmerfrei, Augenschutz. Aufbauleuchten dieser Größe sind die perfekte Wahl für die Heimdekoration.

【LED Aufbau-Deckenleuchten】Aufbaustrahler Strahler besteht aus hochwertigen LED-Chips, hoher Helligkeit, gleichmäßigem Lichtstrahl und einer Lebensdauer von über 30000 Stunden.

【IP65 Wasserdicht】Moderne und einfache IP65 wasserdicht deckenstrahler spot ist nicht nur für die Installation in Wohnzimmer, Schlafzimmern, Türen, Küchen, Flur, Arbeitszimmern, Garderoben, Galerien, Hotels usw. geeignet, sondern auch perfekt für Nassräumen wie Badezimmer und Balkon.

【Paket inklusive】Strahler Spots * 1, Schrauben * 1 Packung, Handbuch * 1. Kein separater Schalter und Kabel. Die Lichtquelle ist nicht austauschbar, nicht dimmbar, nicht drehbar.",Temgin,Wylie-eu,Besuche den Temgin,,10 x 10 x 7.3 cm,350 g,,2022-03-14,0.0,,
36,B09SB8F3HH,"https://images-eu.ssl-images-amazon.com/images/I/71b1b+yD8gL._AC_UL300_SR300,200_.jpg","ALUSSO LED Einbaustrahler 230V Schwarz Flach LED Spots Dimmbar 8W IP44 Bad Einbauleuchten Deckenspots Deckenstrahler, Warmwei","Beleuchtung: 1869
Einbaugehäuse- & Verkleidungssets: 8
Deckenspots: 36",EUR,72.99,4.3,364.0,,,"✅【3 Farbtemperaturen wählbar】LED Einbaustrahler 230V Schwarz angenommen neues Design, die Farbtemperatur kann auf 3000K (Warmweiß) oder 4000K (Neutralweiß) oder 5700K (Kaltweiß) eingestellt werden. Klicken Sie einfach auf den grünen Kippschalter am Trafo und Sie wählen die gewünschte Farbe, die am besten zu Ihrem Zuhause passt, sie müssen sich keine Sorgen machen, die falsche Farbtemperatur zu kaufen.

✅【10%-100% Dimmbar】LED Spots Dimmbar, Dimmbereich 10%-100%, Wählen Sie eine komfortable Helligkeit nach Ihrem Bedarf, schaffen Sie eine andere Atmosphäre für Ihren Raum. Kompatibel mit den meisten Phasenabschnittdimmer auf dem Markt, ohne Flimmern oder Rauschen. Der Dimmer ist nicht im Lieferumfang enthalten, unsere LED Downlights Dimmbar können auch ohne Dimmer mit voller Leistung betrieben werden.

✅【Einfache Installation】Einbaustrahler LED flach 68mm mit nur 33.7mm Einbautiefe, diese ultra slim Einbauleuchten sind ideal für Renovierungen und neue Dekorationen. Durchmesser Ø 94mm, erforderliche Deckenausschnittgröße Ø 65-88mm, Kabellänge 150mm. LED Einbaustrahler mit Trafo, Direkter Anschluss an 230V, keine zusätzlichen Transformatoren oder Zubehör erforderlich.

✅【IP44 Wasserdicht und Breite Anwendung】LED Einbauleuchten rahmen bestehen aus Hitzebeständiges hochwertigem Material gefertigt, die eine gute Wärmeableitung, Korrosionsschutz- und Oxidationsschutzeigenschaften aufweist. IP44 wasserdicht LED Deckenspots können in feuchten Bereichen verwendet werden, erfüllen verschiedene Anforderungen in Anwendungen wie Wohnzimmer, Badezimmer, Schlafzimmer, Küche, Büro und Geschäft.

✅【Langlebig & Energiesparend】ALUSSO LED Einbauspots mit High Efficiency Chips, 8W entspricht 80W Halogenlampe. Im Vergleich zu herkömmlichen Halogenleuchten können unsere led einbaustrahler 230v flach dimmbar mehr als 90% Stromkosten einsparen. 3 Jahre Garantie, Kostenloser Ersatz oder Rückerstattung, bei Fragen können Sie sich gerne an uns wenden.Wir werden Ihnen innerhalb von 24 Stunden eine Lösung anbieten.",ALUSSO,ALUX2019,Besuche den ALUSSO,,9.4 x 9.4 x 3.37 cm,960 g,,2022-02-11,1.0,,
37,B08P1KB11F,"https://images-eu.ssl-images-amazon.com/images/I/71tVeLkKLzL._AC_UL300_SR300,200_.jpg","Gr4tec Led Einbaustrahler 230V Flach IP44, 10 x 5W Led Deckenstrahler Kaltweiß 6000K, LED Spot Einbaudurchmesser φ75mm, AC 85","Beleuchtung: 1886
Deckenspots: 37
Einbauleuchten: 52",EUR,32.99,4.6,937.0,,,"LED Einbaustrahler IP44: Led Deckenstrahler flach verwendet ein einfaches und stilvolles weißes Design. Denn die Led Spots 230V ist mit IP44 gekennzeichnet, was für ausreichend Schutz vor Nässe und Schmutz steht. Es ist ideal für Innenanlässe wie Wohnzimmer, Badezimmer, Korridore, Küchen, Geschäfte usw.

Ultra Flach 35MM: Durchmesser: φ100mm. Einbaudurchmesser: φ75-80mm, Einbautiefe: 35mm, AC 85V-256V. Die Leistung des Einbaustrahler led flach weist eine hervorragende Leistung, einen breiten anwendbaren Spannungsbereich, keine Störung elektromagnetischer Wellen.

Hochwertige Materialien: Aluminiummaterial, hohe Temperaturbeständigkeit, kein Lichtzerfallsproblem. Led Einbauleuchten haben eine gute Wärmeableitung und gleichzeitig eine gute Beständigkeit gegen Verformung und Korrosion. Die Acryl Lichtleiterplatte hat eine bessere Lichtdurchlässigkeit als Kunststoff.

Energie Sparen: 5W Einbauspot Led 230v hat eine 6000K kaltweiss Farbtemperatur und einen Lichtstrom von 310LM. Er ist ein idealer Ersatz für 50W Halogen. Im Vergleich zu herkömmlichen Halogenlampen können Deckeneinbaustrahler Led bis zu 80% Energie sparen. Farbwiedergabeindex> 80, hohe Farbwiedergabe.

Kundenabteilung: Gr4tec Einbauleuchten decke entspricht RoHS- , CE- und anderen Sicherheitszertifizierungen. Wenn Sie Fragen oder Kommentare haben, wenden Sie sich bitte direkt an uns. Wir werden Ihnen innerhalb von 24 Stunden eine zufriedenstellende Antwort geben.",Gr4tec,Lilinhoo Online,Besuche den Gr4tec,,3.5 x 10 x 10 cm,1.23 kg,,2020-11-23,0.0,,
38,B01M3RYAFV,"https://images-eu.ssl-images-amazon.com/images/I/71bCG2R9w0S._AC_UL300_SR300,200_.jpg",JVS Aufbauleuchte Aufbaustrahler Deckenleuchte Aufputz Led Milano GU10 Fassung 230V Eckig Schwarz Schwenkbar Deckenleuchte St,"Beleuchtung: 1923
Deckenspots: 38",EUR,18.69,4.6,510.0,,,"Unsere neue Serie von Aufbauleuchten MILANO zeichnen sich durch hohe Qualität und einfache Installation aus. Der zeitlose Design, sehr lange Lebensdauer sorgen für Stressfreie Benutzung. Durch den Einsatz der neuen Technologie haben unsere Lampen eine längere Lebensdauer und eine höhere Lichtausbeute.

Höhe: 84 mm, Breite: 80 mm, Tiefe: 80 mm. Material: Aluminium. CE Zeichen. Farbe: Aluminium - schwarz - gebürstet. Diese Aufbau-Fassung kann als optimale Alternative für Einbau-Spot-s sein. Vor allem wenn nicht ausreichend Platz vorhanden ist.

GU10 Fassung. Direkter Anschluss an 230V, kein Trafo erforderlich. Diese Decken-Fassung kann mit allem GU10 Leuchtmittel verwenden werden: warm-weiß, kaltweiß und auch dimmbar.

Erhältlich als Rund un Quadratisch und in Farben: ALU-SCHWARZ, ALU-SILBER, WEISS . Einfach bei Amazon-Suchfeld ""jvs-handel milano"" eintippen.

Lieferumfang: 1x MILANO Deckenlampe, 1x GU10 Fassung (ohne Leuchtmittel , ohne weiterführende Verkabelung oder Verbindungszubehör)",JVS,jvs-handel ( Alle Preise inkl. Mwst.),Besuche den JVS,,8 x 8 x 8.41 cm,620 g,,2016-10-19,0.0,,
39,B09YD6QWQ9,"https://images-eu.ssl-images-amazon.com/images/I/51-mVcj-ExL._AC_UL300_SR300,200_.jpg","Kimjo LED Deckenstrahler Schwarz, Deckenleuchte 4 Flammig Schwenkbar, GU10 Spotleuchte Modern LED Lampen Deckenlampe 230V für","Beleuchtung: 2079
Deckenspots: 39",EUR,38.99,4.2,554.0,,,"【Deckenstrahler Schwenkbar】Deckenlampe led geradem Stab, der Stab ist mit einem stabilen Sockel verbunden, jeder Lampenkopf kann um 350 ° nach links und rechts und um 90 ° nach oben und unten gedreht werden, die Lichtrichtung kann Ihren Bedürfnissen angepasst werden. Verleihen Sie Ihrem Raum eine persönliche Beleuchtung

【Austauschbare Leuchtmittel】Größe der spots deckenleuchte strahler: Sockel φ10 cm, Stangenlänge 59 cm, kann mit verschiedenen Arten von GU10-Leuchtmitteln kombiniert werden, sodass Sie viel Spielraum bei der Auswahl der Lichtfarbe und des Erscheinungsbilds haben. Die maximale Leistung überschreitet 50 W nicht (ohne Leuchtmittel)

【Vintage-Design】Die deckenleuchte schwarz aus mattschwarzem Metall verwendet ein exquisites Galvanisierungsverfahren, das verhindern kann, dass die Oberfläche der Lampe nass wird und rostet. Zylindrischer Lampenkopf und Tellerfuß in schwarzer Sprühfarbe, verleiht einen Retro-Look

【Einfach zu installieren】Wir bieten eine Halterung für diesen deckenleuchte 4 flammig, die mithilfe der mitgelieferten Installationsanleitung sehr einfach zu installieren ist. Darüber hinaus sind wir mit GU10-Lampenmontagezubehör ausgestattet, mit dem Sie die Glühbirne schnell austauschen können

【Vielseitigkeit】Dieser deckenstrahler schwenkbar hat ein einfaches Design, mit seinem praktischen Schwenkdesign kann er als Wand- oder Deckenleuchte verwendet werden, geeignet für Büro, Esszimmer, Schlafzimmer oder Wohnzimmer usw. Wenn Sie Fragen haben, zögern Sie nicht Um uns zu kontaktieren, werden wir Ihnen innerhalb von 24 Stunden antworten",Kimjo,Kimjo-Euro,Besuche den Kimjo,,59 x 10 x 15 cm,950 g,,2022-05-24,0.0,,
41,B0B8ZJP668,"https://images-eu.ssl-images-amazon.com/images/I/61qtiYAmkRL._AC_UL300_SR300,200_.jpg","Kimjo Led Deckenstrahler 2 Flammig 350°, Led Deckenleuchte E14 Deckenlampe weiß, Deckenleuchte 2 Flammig Schwenkbar, Deckenla","Beleuchtung: 2146
Deckenspots: 41",EUR,30.99,4.1,35.0,,,"【Flexibel und einstellbar】Deckenlampe 2 Flammig die um 350 ° gedreht und um 90 ° vertikal ausgerichtet werden können. Deckenstrahler weiss 2 flammig kann problemlos die anforderungen an die gerichtete beleuchtung jedes raums erfüllen

【Modernes Rasterdesign】Deckenleuchte weiß mit liniendesign im modern ist aus hochwertigem eisen gefertigt und durch High-End-Prozesse wie Polieren verarbeitet. Zäh und nicht leicht zu schälen und zu verblassen

【E14 Lampenfassung】Lampe strahler weiß für Lampensockel E14, es können verschiedene Lampentypen verwendet werden. Kompatibel mit normalen LED Lampen oder Halogenlampen. Maximale Leistung überschreitet 40 W nicht. Hinweis: Produkt enthält keine Glühbirnen

【Einfach zu installieren】Deckenlampe küche e14 hat zwei Installationsmethoden zur Auswahl, es kann als Wandleuchte an der Wand oder als deckenleuchte Spots an der Decke installiert werden. Direkt an Ihren Heimstromkreis angeschlossen ohne separaten Schalter

【Weit verbreitet】Deckenstrahler led 2 flammig kann als lampe küche, lampe wohnzimmer, lampe schlafzimmer, lampe flur usw. verwendet werden. Wenn es Probleme mit dieser Kimjo deckenstrahler e14, wenden Sie sich bitte zuerst an uns",Kimjo,KLighting,Besuche den Kimjo,,27 x 14 x 12 cm,550 g,,2022-08-08,0.0,,
42,B07RNKSM9S,"https://images-eu.ssl-images-amazon.com/images/I/71KH1pxwM0L._AC_UL300_SR300,200_.jpg",trendlights24 Decora Decken Einbaustrahler flach 35 mm 230V 10er Set - LED Spots je 5W Warmweiß 380lm austauschbar - Edelstah,"Beleuchtung: 2184
Einbaugehäuse- & Verkleidungssets: 11
Deckenspots: 42",EUR,59.0,4.6,410.0,,,"Anschluss ohne Trafo: LED-Spots schwenkbar als 230V-Set für den direkten Anschluss an das Stromnetz. Die Einbauleuchten verfügen über extra flache, auswechselbare LEDs. Es werden nur ca. 35mm Einbautiefe benötigt.

Hell & nachhaltig: LED Deckenspots mit Leistungsaufnahme 5W bei 380 Lumen Leistung, Warm-Weiß 3000k oder Neutral-Weiß 4000k, Abstrahlwinkel 60°, Leuchtmittel austauschbar, nicht dimmbar

Universell & kompakt: Die Deckenspots ermöglichen ein Lochmaß bzw. Lochdurchmesser von ca. 68 mm bis 75 mm. Der gesamte Durchmesser des Einbaurahmens beträgt ca. 87 mm. Montage mittels vormontierter Klemmfedern.

Energiesparen ohne Qualitätsverlust: Sparen Sie 90% ihrer Stromkosten gegenüber herkömmlichen Halogen Leuchten. Natürliche Farbwiedergabe dank CRI > 80. Ersetzt ca. 50 Watt Hochvolt Halogen Leuchtmittel.

Farbauswahl: gebürsteter Edelstahl-Look, glänzendes Chrom, Gold Messing, Schwarz matt oder Weiß. Alle Varianten eignen sich für den Einsatz in allen trockenen Wohnräumen (innen).",trendlights24,trendlights24,Besuche den trendlights24,,8.7 x 8.7 x 3.5 cm,200 g,,2019-05-07,0.0,,
43,B07TYM8BH2,"https://images-eu.ssl-images-amazon.com/images/I/61yeADX9fCL._AC_UL300_SR300,200_.jpg",wowatt Strahler Deckenleuchte 4 Flammig LED Deckenstrahler 4x 6W GU10 Spots Schwenkbar Kaltweiß 6000K Flur Spotleuchten Spotb,"Beleuchtung: 2216
Deckenspots: 43",EUR,31.99,4.6,2757.0,,,"Modernes Design: rostfreies Matt-nickel Design. Diese led Deckenleuchte in matt-nickel ist rostbeständig und fügt sich mit dem schlichten Design in jeden Wohnraum optimal ein.

Einfache Montage: Austauschbare Leuchtmittel, kann 4 Stk. GU10 Spots (sollte unter 50W) verwenden. Installationstipp: Bringen Sie die Halterung an der Decke/Wand an, dann befestigen Sie die Lampe an der Halterung.

Praktische Design: Die Strahlers und Stäbe sind schwenkbar und einstellbar. So entsteht eine zusätzliche Flexibilität der Beleuchtung. Das angenehmes kaltweißes Licht sorgt für gemütliche Atmosphäre in Ihrem Heim.

Paket beinhaltet: vier GU10 Leuchtmittel mit 6000K Farbtemperatur, je 600 Lumen und 6 Watt. Hohe Farbwiegdergabe: 83 Ra. Länge von Deckenleuchte: 68 cm; Durchmesser des Stab: 1.2 cm; Maße der Unterlage: 9.9 x 9.9cm.

Anwendungsbereich: Durch das moderne, aber schlichte Design geeignet diese Leuchte für viele Bereiche, wie z.B. Esszimmer, Wohnzimmer, Flur, Küche, Schlafzimmer und Kinderzimmer.",wowatt,wowatt,Besuche den wowatt,,11 x 10 x 37 cm,920 g,,2019-07-02,0.0,,
44,B08T9LHC2V,"https://images-eu.ssl-images-amazon.com/images/I/61a0UqUeKxS._AC_UL300_SR300,200_.jpg",TEVEA Premium Deckenleuchte Aufbauspot Flach - Warmweiß - Weiß - LED Modul 230V 5W austauschbar - Deckenspot auch fürs Bad - ,"Beleuchtung: 2230
Deckenspots: 44",EUR,18.9,4.5,122.0,,,"✅ HOCHWERTIGE QUALITÄT: Wir von Tevea haben den Fokus auf schwenkbare Premium LED Aufbauspots gelegt. Uns war bei der Herstellung wichtig, eine Deckenleuchte herzustellen, der sehr widerstandsfähig ist und bei dem der LED Aufbauspot mit austauschbarem LED Modul ist.

✅ HOHE PRODUKTSICHERHEIT: Du kannst mit beruhigtem Gewissen bei uns bestellen und darauf vertrauen, dass unsere Produkte qualitativ sehr hochwertig und dennoch sehr günstig sind. Dank des Aufbauspots bekommst Du ein reines helles Licht ohne Flackern und eine helle Ausleuchtung des Raumes. Bei Fragen oder Problemen kannst Du Dich jederzeit bei uns melden.

✅ ZUSAMMENSETZUNG UND LIEFERUNG: Es werden Schrauben sowie Dübel mitgeliefert. Die Installation der Deckenleuchte ist sehr einfach. Unsere Spots haben eine Aufbauhöhe von 50 mm, der Durchmesser beträgt 80 mm und das Kabel ca. 15 cm. Das 5W 400lm 230V LED Modul benötigt kein Trafo.

✅ ECHTER ALLROUNDER: Von uns erhältst Du LED Aufbauspots, welche nicht nur sehr gut aussehen, sondern dazu noch vielseitig einsetzbar sind. Unsere Deckenleuchten kannst Du in 2 Lichtfarben und 3 Spot Farben erhalten. Das LED Modul hat die Schutzklasse IP44 damit ist es Spritzwassergeschützt und fürs Bad geeignet.

✅ TEVEA'S VERSPRECHEN: Damit wir Dir die Entscheidung zum Kauf etwas erleichtern können, nehmen wir das Risiko komplett auf uns und geben Dir ein Versprechen. Sollte Dir aus irgendeinem Grund irgendwas an der LED Deckenleuchte nicht gefallen, bekommst Du Dein Geld zurück. Bis zu 30 Tage nach Deinem Kauf!",TEVEA,tevea,Besuche den TEVEA,,,,,2021-01-20,0.0,,
45,B0BD83JLZ5,"https://images-eu.ssl-images-amazon.com/images/I/611iHR-sqQL._AC_UL300_SR300,200_.jpg","2 Stück Deckenspots Schwarz, Vintage Deckenstrahler E14, 350° Verstellbare Wandlampe 1 Flammig max. 40 Watt, Wandleuchte Inne","Beleuchtung: 2233
Deckenspots: 45",EUR,29.99,4.1,146.0,,,"【Wandlampe Vintage】Retro-Design Wandlampe Innen, einzigartiger mattschwarzer Mesh-Lampenschirm, nicht leicht zu verblassen. Der Sockel ist aus Eisen, stark und langlebig. Geeignet für Innenbeleuchtung im Industriestil, sorgt nicht nur für gutes Licht, sondern verleiht Ihrem Raum auch einen Hauch von Mode.

【Flexibilität bei der Beleuchtung】Die Wandstrahler 1 Flammig ist um 350 ° gedreht und um 90 ° vertikal, könn sie je nach Bedarf in verschiedene Richtungen zeigen und so unterschiedliche Bereiche des Raumes beleuchten. Wandstrahler ist für alle Arten von E14 Lampen, einschließlich LED-Lampen, dimmbare Lampen und Halogenlampen(MAX. 40W), Bitte beachten Sie: Unsere Produkte enthalten kein leuchtmittel.

【Einfach zu installieren】 Wandleuchte Schwarz hat zwei Installationsmethoden zur Auswahl, kann als Wandleuchte an der Wand oder als Deckenleuchte an der Decke installiert werden. Direkt an Ihren Heimstromkreis angeschlossen, Wandlampe vintage wird ohne separaten schalter. Ist eine ideale Wahl für die Innenbeleuchtung.

【Multi-Szene Anwendung】Die Deckenleuchten kann als Deckenstrahler/Wandstrahler verwendet werden, perfekt für kleine Innenräume, die 10 Quadratmeter nicht überschreiten, wie Kinderzimmer, kleine Schlafzimmer, Nachttische, Abstellräume, Küchen, Flure, kleine Wohnzimmer usw. Der minimalistische Gitterschirm ist ein toller Look für Küchen und Wohnkultur.

【Ausgezeichnete Kundendienst】Unser Wandleuchten ist Mini-Größe, der Schirm Größe ist 12 x 8cm, bitte bestimmen Sie, ob das Produkt Größe entspricht Ihren Kauf Kriterien vor dem Kauf. Wenn es Probleme mit dieser schwenkbaren Spots gibt, wenden Sie sich bitte zuerst an uns. Wir werden Ihnen innerhalb von 24 Stunden antworten und die beste Lösung für Sie anbieten.",FORCOSO,Forcoso Lighting,Besuche den FORCOSO,,9 x 11.5 x 18 cm,400 g,,2022-09-06,0.0,,
46,B08LGFB6JH,"https://images-eu.ssl-images-amazon.com/images/I/51bY6+FdC0L._AC_UL300_SR300,200_.jpg","Kimjo Deckenstrahler 2 Flammig Deckenleuchte E27, Weiss Strahler Deckenlampen Modern, 350° Schwenkbar Deckenspots für Wohnzim","Beleuchtung: 2338
Deckenspots: 46",EUR,21.99,4.5,320.0,,,"【Verstellbare Deckenstrahler】 Die Spotbalken die um 350 ° gedreht und um 90 ° vertikal ausgerichtet werden können. Es kann je nach gewünschtem Effekt mit unterschiedlichen Farbtemperaturen und -winkeln konfiguriert werden, und ist nicht mit Lampen ausgestattet. Deckenstrahler Led ist eine ideale Wahl für die Innenbeleuchtung

【E27-Lampenfassung】 Spots deckenleuchte für Lampensockel E27. Es können verschiedene Lampentypen verwendet werden. Kompatibel mit normalen LED-Lampen oder Halogenlampen beträgt die Küchenlampe Jede Lampenfassung maximale Leistung nicht mehr als 60W

【Einfach zu installieren】 Spotlampe LED größe ist 31,5 * 12 * 6,5 cm, als ceiling light und Wandstrahler verwendet werden, die mit einer Montagehalterung ausgestattet ist. Schrauben Sie die Halterung zuerst an die Wand oder Decke und installieren Sie dann den Lampensockel an der Halterung, ohne ein Loch schneiden zu müssen

【Weißes Design】 Weiss lampen wohnzimmer decke aus weißer Farbe und Metallrohstoffen. Es fällt nicht leicht ab und ist nicht leicht zu rosten. Produkte mit einfachem und modernem Design, geeignet für Schlafzimmer, Wohnzimmer, Flure, Flure, Küchen, Büros, Esszimmer und andere Orte

【Kundendienst】 Wenn es Probleme mit dieser schwenkbaren Spots gibt, wenden Sie sich bitte zuerst an uns. Wir werden Ihnen innerhalb von 24 Stunden antworten und die beste Lösung für Sie anbieten",Kimjo,KLighting,Besuche den Kimjo,,12 x 6 x 5 cm,460 g,,2020-11-28,0.0,,
